!Land Use Parameters by Season (spring,summer,autumn,winter)
num_cat= 28
num_sup= 5
super_class= 1 2 2 2 2 2 2 2 2 2 3 3 3 3 3 5 2 3 4 2 3 2 4 4 1 2 2 2 
Roughness (m)    
   8.0e-1    3.0e-1    8.0e-1    1.0e+0   ! 1003=Forest Superclass  
   3.0e+0    4.0e+0    6.0e+1    6.0e+1   ! 1004=Desert Superclass 
   1.0e-1    1.0e-1    1.0e-1    1.0e-1   ! 1005=Water Superclass 
Bowen Ratio - Wet        
   5.0e-1    1.0e+0    1.0e+0    5.0e-1   !  1=Developed 
   5.0e-1    7.0e-1    7.0e-1    7.0e-1   !  2=Dry Cropland & Pasture
   5.0e-1    5.0e-1    5.0e-1    7.0e-1   !  3=Irrigated Cropland 
   3.0e-1    4.0e-1    5.0e-1    5.0e-1   !  4=Missing 
   2.0e-1    3.0e-1    4.0e-1    5.0e-1   !  5=Cropland/Grassland 
   2.0e-1    3.0e-1    4.0e-1    5.0e-1   !  6=Cropland/Woodland 
   3.0e-1    4.0e-1    5.0e-1    5.0e-1   !  7=Grassland 
   3.0e-1    3.0e-1    4.0e-1    5.0e-1   !  8=Shrubland 
   3.0e-1    4.0e-1    5.0e-1    5.0e-1   !  9=Shrubland/Grassland
   3.0e-1    4.0e-1    5.0e-1    5.0e-1   ! 10=Savanna 
   3.0e-1    2.0e-1    4.0e-1    5.0e-1   ! 11=Deciduous Broadleaf Forest 
   3.0e-1    2.0e-1    4.0e-1    5.0e-1   ! 12=Deciduous Needleleaf Forest 
   3.0e-1    2.0e-1    3.0e-1    3.0e-1   ! 13=Evergreen Broadleaf Forest 
   3.0e-1    2.0e-1    3.0e-1    3.0e-1   ! 14=Evergreen Needleleaf Forest 
   3.0e-1    2.0e-1    3.0e-1    4.0e-1   ! 15=Mixed Forest 
   1.0e-1    1.0e-1    1.0e-1    1.0e-1   ! 16=Water 
   1.0e-1    1.0e-1    1.0e-1    1.0e-1   ! 17=Herbaceous Wetland 
   2.0e-1    2.0e-1    2.0e-1    2.0e-1   ! 18=Wooded Wetland 
   1.0e+0    1.5e+0    2.0e+0    2.0e+0   ! 19=Barren 
   2.0e-1    2.0e-1    2.0e-1    5.0e-1   ! 20=Herbaceous Tundra 
   3.0e-1    3.0e-1    3.0e-1    5.0e-1   ! 21=Wooded Tundra 
   3.0e-1    3.0e-1    3.0e-1    5.0e-1   ! 22=Mixed Tundra 
   1.0e+0    1.0e+0    1.0e+0    5.0e-1   ! 23=Bare Tundra 
   5.0e-1    5.0e-1    5.0e-1    5.0e-1   ! 24=Snow or Ice 
   5.0e-1    1.0e+0    1.0e+0    5.0e-1   ! 25=Partly Developed 
   3.0e-1    4.0e-1    5.0e-1    5.0e-1   ! 26=Not Used 
   3.0e-1    4.0e-1    5.0e-1    5.0e-1   ! 27=Not Used 
   3.0e-1    4.0e-1    5.0e-1    5.0e-1   ! 28=Unclassified 
   5.0e-1    1.0e+0    1.0e+0    5.0e-1   ! 1001=Urban Superclass 
   3.0e-1    4.0e-1    5.0e-1    5.0e-1   ! 1002=Grassland Superclass
   3.0e-1    2.0e-1    3.0e-1    4.0e-1   ! 1003=Forest Superclass  
   1.0e+0    1.5e+0    2.0e+0    2.0e+0   ! 1004=Desert Superclass 
   1.0e-1    1.0e-1    1.0e-1    1.0e-1   ! 1005=Water Superclass 


Substrate categories  7
Name       Porosity    Tortuosity    Grain size
Concrete   0.20         6.0            1.e-4
Sand       0.35         2.0            1.e-3
Aluminun   0.010        6.0            1.e-6
Artgrass   0.20         4.0            1.e-1 
Asphalt    0.20         6.0            1.e-4
Glass      0.010        6.0            1.e-6
Soil       0.35         2.0            1.e-2

